Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point,App Android,App iOS, Assembly District, Congress District,DSNY District, DSNY Section,DSNY Zone,Senate District
Manhattan,Upper East Side-Yorkville,NW 1 Ave & E 81 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,108,5,1013800,,,40.77380204,-73.95175657,19,40514,POINT (-73.95175657 40.77380204),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=383,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364075,76,12,MN08,MN083,MN,28
Brooklyn,Crown Heights (North),NE Kingston Avenue & St. Johns Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,3033900,,,40.6712827,-73.94190498,77,40382,POINT (-73.94190498 40.6712827),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=187,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363879,43,9,BKN08,BKN082,BKN,20
Manhattan,Morningside Heights,Columbia Sunday Greenmarket,Broadway between 114th St. and 115th St.,GrowNYC,Year Round,Sunday (Start Time: 8:00 AM - End Time:  12:00 PM),,grownyc.org/compost,109,7,1020300,,,40.807138,-73.96437,26,40402,POINT (-73.96437 40.807138),,,69,13,MN09,MN091,MN,30
Brooklyn,Bushwick (East),NE Knickerbocker Avenue & Covert Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3040900,,,40.69199579,-73.90651491,83,40333,POINT (-73.90651491 40.69199579),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=138,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363830,54,7,BKN04,BKN043,BKN,18
Manhattan,SoHo-Little Italy-Hudson Square,*LAST DAY DECEMBER 6* 6th Ave & Spring St,6th Avenue & Spring Street -NE Corner,NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesday (Start Time: 9:00 AM - End Time:  2:00 PM),,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,102,1,1004900,,,40.7256282,-74.003866,1,40465,POINT (-74.003866 40.7256282),,,66,10,MN02,MN021,MN,27
Queens,Queensbridge-Ravenswood-Dutch Kills,NE 35th Avenue & 12th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,4004300,,,40.76262573,-73.93766776,114,40222,POINT (-73.93766776 40.76262573),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=203,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363895,36,7,QW01,QW016,QW,59
Brooklyn,Crown Heights (North),NW Rogers Avenue & Sterling Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,36,3021900,,,40.67279918,-73.95310335,77,40370,POINT (-73.95310335 40.67279918),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=191,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363883,57,9,BKN08,BKN082,BKN,20
Brooklyn,Bedford-Stuyvesant (East),SW Patchen Avenue & Monroe Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,3038500,,,40.68815347,-73.92714042,81,40269,POINT (-73.92714042 40.68815347),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=78,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363770,56,8,BKN03,BKN034,BKN,25
Brooklyn,Bushwick (East),NW Irving Avenue & Weirfield Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,3043900,,,40.6950796,-73.9073417,83,40338,POINT (-73.9073417 40.6950796),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=157,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363849,54,7,BKN04,BKN043,BKN,18
Bronx,Mount Eden-Claremont (West),SE Eastburn Avenue & East 174th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,15,2022902,,,40.84471862,-73.90847526,44,40666,POINT (-73.90847526 40.84471862),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=416,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364108,86,15,BX04,BX043,BX,32
Bronx,Morris Park,Albert Einstein College of Medicine (AECOM) Garden Club,Near 1975 Eastchester Road,Volunteers at Einstein Community Garden,Year Round,Wednesday (Start Time: 4:00 PM - End Time:  5:00 PM),,,211,13,2029600,2042050002,2102976,40.85322611,-73.8434618,49,40750,POINT (-73.8434618 40.85322611),,,80,14,BX11,BX112,BX,34
Brooklyn,East Flatbush-Erasmus,Rogers / Tilden / Veronica Place Garden,"2601 - 2603 Tilden Avenue, Brooklyn 11226",Rogers / Tilden / Veronica Place Garden,Year Round,Saturday (Start Time: 10:00 AM - End Time:  12:00 PM),,,317,40,3079400,,,40.6472062,-73.9526235,67,40782,POINT (-73.9526235 40.6472062),,,42,9,BKN17,BKN174,BKN,21
Manhattan,Upper West Side (Central),SW W 93 St & Columbus Ave,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,107,7,1017700,,,40.7909141,-73.96910424,24,40634,POINT (-73.96910424 40.7909141),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=371,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364063,69,12,MN07,MN074,MN,47
Manhattan,Harlem (South),SW St. Nicholas Avenue & West 118 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,1022000,,,40.8050784,-73.95281788,28,40597,POINT (-73.95281788 40.8050784),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=335,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364027,70,13,MN10,MN101,MN,30
Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Carroll Gardens Greenmarket,Smith St and 1st Pl,GrowNYC,Year Round,Sunday (Start Time: 8:00 AM - End Time:  12:00 PM),,grownyc.org/compost,306,39,3007700,,,40.679954,-73.99517,76,40729,POINT (-73.99517 40.679954),,,52,10,BKS06,BKS062,BKS,26
Bronx,Longwood,Kelly Street Garden,"924 Kelly St, The Bronx, NY 10459",Volunteers at Kelly Street Garden,Year Round,Saturday (Start Time: 10:00 AM - End Time:  2:00 PM),,https://www.facebook.com/kellyst.garden/,202,17,2008700,,,40.820124,-73.895674,41,40735,POINT (-73.895674 40.820124),,,85,14,BX02,BX021,BX,32
Manhattan,Upper West Side-Lincoln Square,SE West End Ave & W 65 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,107,6,1015101,,,40.77519164,-73.98753544,20,40619,POINT (-73.98753544 40.77519164),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=362,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364054,67,12,MN07,MN071,MN,47
Manhattan,Upper East Side-Yorkville,NW 2nd Ave & 95th St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,108,5,1015601,,,40.78340998,-73.94763142,19,40520,POINT (-73.94763142 40.78340998),https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=254,https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363946,68,12,MN08,MN085,MN,29
